,even-shaman,even-paladin,odd-paladin,secret-hunter,spell-hunter,deathrattle-hunter,odd-rogue,odd-quest-warrior,odd-warrior,recruit-hunter,otk-dk-paladin,midrange-hunter,cube-warlock,secret-odd-mage,odd-mage,clone-priest,even-warlock,control-priest,odd-hunter,deathrattle-rogue,big-spell-mage,zoo-warlock,rush-warrior,pirate-rogue,tempo-mage,aggro-overload-shaman,tempo-rogue,control-warlock,kingsbane-rogue,combo-priest,malygos-rogue,quest-priest,turvy-otk-priest,quest-mage
even-shaman,50.0,64.1,53.9,49.2,44.9,61.3,47.2,51.6,44.5,64.1,56.6,55.8,47.2,69.2,43.7,61.4,45.2,43.0,74.2,58.1,47.3,63.1,56.2,60.7,76.4,64.5,66.1,59.8,63.3,61.7,79.4,70.0,69.7,79.9
even-paladin,35.9,50.0,52.5,52.2,52.3,52.0,53.0,58.5,40.0,51.0,60.3,60.1,58.0,50.6,47.5,64.8,53.3,47.5,67.3,53.9,45.2,62.5,50.6,50.5,54.9,66.0,53.4,59.7,59.2,63.3,67.2,64.9,72.0,79.0
odd-paladin,46.1,47.5,50.0,52.5,56.1,63.3,57.9,54.6,41.8,60.7,55.8,57.4,53.6,64.4,51.0,54.9,41.7,37.2,70.6,80.1,48.7,51.1,41.5,69.1,67.5,71.2,64.8,42.6,70.0,51.0,79.7,65.5,63.1,80.5
secret-hunter,50.8,47.8,47.5,50.0,57.1,54.2,61.6,31.7,37.5,54.7,41.6,63.3,47.4,57.9,36.3,45.3,50.8,54.3,60.9,72.0,41.9,59.6,61.4,76.6,67.6,67.0,75.2,51.9,61.3,68.8,76.2,59.4,71.4,76.2
spell-hunter,55.1,47.7,43.9,42.9,50.0,50.6,59.9,38.8,47.0,55.1,43.8,60.9,45.3,59.6,49.0,44.6,59.9,54.0,53.8,65.1,56.5,57.4,67.5,70.9,69.0,59.4,70.4,59.2,50.6,73.9,67.9,53.8,64.7,68.4
deathrattle-hunter,38.7,48.0,36.7,45.8,49.4,50.0,41.6,76.0,67.8,52.5,61.9,44.3,55.2,61.1,70.3,45.9,56.4,54.6,32.6,48.9,72.5,43.4,61.0,52.7,62.5,50.6,54.2,74.3,47.0,58.7,49.4,59.9,50.0,71.1
odd-rogue,52.8,47.0,42.1,38.4,40.1,58.4,50.0,30.9,25.0,61.1,44.5,56.5,65.4,57.8,44.9,70.1,61.0,55.1,61.4,66.1,48.4,59.8,44.0,68.1,66.2,58.5,68.1,59.7,60.5,68.1,85.0,72.5,80.3,85.1
odd-quest-warrior,48.4,41.4,45.4,68.3,61.2,24.0,69.1,50.0,63.0,29.0,29.0,60.7,27.5,64.2,51.5,43.2,56.1,75.0,87.0,36.3,54.3,60.8,57.3,61.0,68.7,71.7,63.8,60.9,50.6,61.0,48.2,44.3,39.4,30.7
odd-warrior,55.5,60.0,58.2,62.5,53.0,32.2,75.0,36.9,50.0,36.4,16.7,64.3,41.6,68.4,68.0,50.0,63.0,74.0,86.9,43.4,40.7,64.2,76.6,64.2,75.9,76.7,66.6,49.0,17.0,69.5,45.1,36.4,32.6,13.7
recruit-hunter,35.9,49.0,39.3,45.3,44.9,47.5,38.9,71.0,63.6,50.0,61.3,45.4,45.0,58.0,70.2,50.0,50.3,58.2,41.7,47.4,70.9,43.2,60.9,54.1,59.0,48.3,52.9,72.6,50.7,53.5,52.1,63.3,54.6,68.3
