,Mechathun Druid,Deathrattle Hunter,Midrange Hunter,Secret Hunter,Spell Hunter,Big Spell Mage,Odd Mage,Tempo Mage,Even Paladin,Otk Dk Paladin,Odd Paladin,Clone Priest,Combo Priest,Control Priest,Odd Rogue,Tempo Rogue,Thief Rogue,Even Shaman,Control Warlock,Cube Warlock,Even Warlock,Zoo Warlock,Odd Quest Warrior,Odd Warrior
Gonk Druid,38.1,30.1,36.9,25.4,22.8,39.5,29.3,47.4,28.2,34.0,28.4,45.7,48.1,45.7,28.7,50.0,51.6,17.6,45.5,34.8,17.5,33.3,27.6,29.3
Malygos Druid,40.4,30.4,37.1,37.7,39.3,50.0,51.1,,30.6,48.1,58.2,59.2,45.6,68.6,44.9,35.5,,44.1,51.4,45.4,40.3,36.1,46.1,38.2
Mechathun Druid,50.0,28.4,41.9,35.7,48.9,45.3,61.3,35.1,47.2,73.3,48.9,46.7,38.2,45.9,41.8,34.3,46.2,39.7,26.8,44.1,24.7,34.8,74.8,77.4
Mill Druid,54.4,16.9,39.1,33.7,39.1,50.1,51.3,49.1,32.3,50.6,60.7,45.4,37.8,67.4,51.4,35.8,46.2,41.9,36.2,31.4,20.2,39.4,61.2,76.5
Quest Druid,,33.2,21.7,25.7,28.7,69.2,64.3,,18.2,50.8,14.1,55.9,,63.2,18.6,,,13.7,,,41.0,10.2,70.1,
Spiteful Druid,69.1,45.4,40.7,34.8,39.3,57.0,55.0,57.8,47.8,57.2,33.9,50.3,56.9,50.0,31.7,37.1,,32.5,62.7,55.1,43.2,37.0,49.4,44.8
Taunt Druid,39.0,22.0,33.2,44.3,45.6,38.4,61.9,39.6,29.7,52.7,40.6,32.0,40.6,49.3,40.3,31.4,34.8,26.7,49.2,42.5,31.9,35.5,70.9,69.5
Token Druid,63.4,47.2,32.1,33.4,41.9,46.4,46.4,43.2,31.5,51.1,39.6,41.4,43.4,33.5,29.7,47.1,67.1,26.8,42.4,32.2,29.0,30.9,58.5,51.9
Undatakah Druid,38.2,17.8,37.0,41.6,43.4,39.1,62.0,56.9,28.6,43.9,44.1,26.5,37.4,47.4,41.4,26.9,,25.5,49.4,42.3,30.7,34.8,68.2,71.2
Deathrattle Hunter,71.6,50.0,44.7,45.1,49.9,71.3,70.4,63.5,45.8,61.6,32.9,46.6,58.4,49.4,42.0,51.1,73.3,37.6,70.1,55.5,58.0,43.3,77.1,68.5
Midrange Hunter,58.1,55.3,50.0,39.3,38.6,51.7,43.8,61.5,42.1,49.8,40.3,63.4,67.2,50.6,44.7,56.3,76.3,45.5,62.9,59.6,56.9,54.5,41.9,40.3
Odd Hunter,26.5,64.6,38.2,42.4,45.3,61.4,60.5,51.0,28.6,41.8,28.7,62.0,60.8,57.2,37.8,52.7,79.1,28.0,70.7,81.5,69.7,39.0,12.7,13.3
Recruit Hunter,64.1,46.8,48.8,43.7,42.2,63.4,67.7,66.8,47.6,58.2,41.2,46.8,56.7,54.0,41.9,52.6,76.0,34.0,62.6,49.7,50.8,43.9,61.2,61.4
Secret Hunter,64.3,54.9,60.7,50.0,51.1,46.2,41.1,66.0,51.4,47.6,43.5,50.0,66.9,52.7,55.4,66.8,82.0,50.0,54.6,49.2,55.1,56.5,46.2,48.5
Spell Hunter,51.1,50.1,61.4,48.9,50.0,53.3,50.9,69.6,50.1,42.0,45.3,41.9,71.4,48.5,60.0,67.8,79.0,54.2,54.3,45.2,59.6,58.7,38.3,47.0
Big Spell Mage,54.7,28.7,48.3,53.8,46.7,50.0,56.5,37.2,58.0,34.7,47.6,44.4,61.6,46.4,50.8,51.9,52.5,56.1,64.4,39.7,56.0,60.4,47.5,61.5
Elemental Mage,51.9,33.4,38.3,43.5,39.1,40.7,48.0,48.8,48.5,48.9,26.3,43.2,55.5,53.1,31.6,41.0,65.9,32.9,57.9,46.4,43.2,37.0,50.3,43.0
Freeze Mage,51.9,16.9,15.1,29.9,29.9,54.1,43.8,,29.9,60.9,23.7,41.6,43.4,47.5,12.8,23.0,,27.5,,31.7,31.1,25.7,47.0,56.4
