,Gonk Druid,Malygos Druid,Mechathun Druid,Mill Druid,Quest Druid,Spiteful Druid,Taunt Druid,Token Druid,Undatakah Druid,Deathrattle Hunter,Midrange Hunter,Odd Hunter,Recruit Hunter,Secret Hunter,Spell Hunter,Big Spell Mage,Elemental Mage,Freeze Mage,Odd Mage,Quest Mage,Secret Odd Mage,Tempo Mage,Deathrattle Paladin,Even Paladin,Holy Wrath Paladin,Mech Paladin,Otk Dk Paladin,Odd Paladin,Secret Paladin,Clone Priest,Combo Priest,Control Priest,Mechathun Priest,Mechathun Quest Priest,Quest Priest,Spiteful Priest,Turvy Otk Priest,Deathrattle Rogue,Even Rogue,Kingsbane Rogue,Malygos Rogue,Odd Rogue,Pirate Rogue,Pogo Rogue,Quest Rogue,Tempo Rogue,Thief Rogue,Aggro Overload Shaman,Dragon Shaman,Elemental Shaman,Even Shaman,Midrange Shaman,Overload Shaman,Shudderwock Shaman,Token Shaman,Control Warlock,Cube Warlock,Discard Warlock,Even Warlock,Mechathun Warlock,Zoo Warlock,Control Warrior,Dragon Warrior,Odd Quest Warrior,Odd Warrior,Quest Warrior,Recruit Warrior,Rush Warrior
Gonk Druid,,,36.5,,,,,,,29.6,36.6,,,25.6,22.5,38.5,,,29.6,,,46.9,,29.3,,,39.8,27.8,,45.9,50.8,45.0,,,,,,,,,,28.7,,,,47.9,52.1,,,,17.9,,,,,45.8,36.6,,18.2,,33.5,,,29.3,31.1,,,
Malygos Druid,,,38.1,,,,,,,30.3,36.9,,,37.5,39.2,51.0,,,51.4,,40.8,,,31.5,,,47.6,58.3,,59.9,45.8,67.6,,,,,66.7,,,,58.1,45.4,,,,33.2,,,,,43.9,,,,,49.8,45.7,,39.2,68.5,36.6,,,47.3,38.0,,,
Mechathun Druid,63.5,61.9,50.0,41.2,,30.7,63.5,37.7,64.3,29.2,41.9,74.1,36.5,36.0,49.9,46.0,47.5,49.1,63.6,35.6,30.5,34.5,57.6,48.4,76.6,56.4,75.0,49.0,37.0,46.1,38.7,45.8,34.2,35.4,50.5,39.5,48.5,26.7,38.7,44.0,38.3,42.3,,46.5,47.5,35.0,47.4,51.3,50.5,52.2,41.4,45.6,,70.4,43.4,26.6,45.6,60.0,25.6,59.7,35.7,58.7,75.1,75.3,78.6,76.6,56.7,52.3
Mill Druid,,,58.2,50.0,,,44.1,,,18.4,38.9,69.9,18.9,33.1,38.8,46.2,38.6,,49.2,49.1,37.8,46.7,35.2,34.8,63.1,,53.4,56.6,48.2,46.7,38.1,62.4,60.7,64.9,62.7,,51.5,29.1,,53.6,47.6,47.1,,,39.3,35.2,43.9,50.9,,,38.9,,,,,35.1,32.1,,19.7,67.1,36.6,,,63.7,74.6,,,38.0
Quest Druid,,,,,,,,,,32.7,21.9,,,25.3,28.9,68.3,,,62.6,,,,,17.8,,,48.5,14.0,,55.5,,61.2,,,,,,,,,,19.6,,,,,,,,,12.9,,,,,,47.1,,39.4,,10.6,,,69.9,,,,
Spiteful Druid,,,69.3,,,,,,,45.7,40.8,,,35.5,39.4,58.1,,,55.2,67.9,45.8,59.1,,48.1,,,55.1,34.3,,50.2,57.2,52.4,,,,,61.3,,,,66.0,31.3,,,,37.3,,,,,32.4,,,,,62.8,55.3,,43.8,70.2,37.7,,,49.6,45.7,,,
Taunt Druid,,,36.5,55.4,,,,37.4,,23.1,33.4,66.0,28.0,43.6,46.0,39.0,54.4,,63.1,35.7,37.3,41.0,48.0,30.5,65.0,,52.9,40.2,35.8,31.7,42.1,48.6,30.6,33.3,57.5,,51.6,23.8,,46.3,40.4,40.2,,,,31.0,36.6,43.3,,,27.1,,,,45.9,49.4,42.9,,33.6,50.2,34.7,,79.0,71.1,69.0,,,49.1
Token Druid,,,62.3,,,,62.6,,,47.6,32.5,,,33.0,40.9,47.9,63.1,,46.2,74.3,43.5,41.9,41.5,32.2,59.2,43.0,53.8,41.3,26.6,40.6,40.8,34.4,,,59.7,,45.6,55.2,,,60.9,29.9,,,,45.0,65.6,,,,26.6,,,75.2,44.5,42.9,32.8,55.6,28.8,49.7,31.5,,48.4,57.3,51.5,,,40.4
Undatakah Druid,,,35.7,,,,,,,18.2,36.4,,,40.8,42.1,37.0,,,60.1,35.2,52.8,56.6,39.8,26.9,,,42.8,45.3,,26.4,38.7,48.6,,,67.0,,47.1,,,,45.7,41.2,,,,28.7,,,,,25.9,,,,,48.6,41.7,,28.7,42.7,35.8,,,66.8,73.8,,,
Deathrattle Hunter,70.4,69.7,70.8,81.6,67.3,54.3,76.9,52.4,81.8,50.0,44.7,35.2,53.6,45.0,49.9,71.2,66.9,84.1,70.2,72.3,61.9,63.8,58.4,45.7,64.0,59.1,61.5,33.0,41.3,46.6,59.0,49.3,48.5,47.3,56.7,61.6,48.2,48.1,53.9,54.5,50.9,41.8,,75.8,51.6,50.8,73.3,52.0,70.3,65.8,37.6,68.3,78.7,80.5,64.3,69.7,55.6,78.7,58.1,72.7,43.0,88.2,82.1,77.1,69.0,85.6,82.0,65.3
